,variable,CONTROL mean,CONTROL std,COVID mean,COVID std,p value(test T),p value (test Mann Whitneyu)
0,aseg-volume_Lateral-Ventricle_rh,8.719916000000001,4.5373172504686075,8.546926262626263,5.036908313690822,0.8760036754937199,0.7319448964662252
0,aseg-volume_Lateral-Ventricle_lh,10.608188,5.644562526842389,9.470648484848484,6.119188923434744,0.4008924801809254,0.26761033248085553
0,aseg-volume_Lateral-Ventricle_mean,9.664052,5.023387094764846,9.008787373737373,5.454789321813874,0.5868279813627992,0.39352908485339777
0,aseg-volume_Inf-Lat-Vent_rh,0.4277679999999999,0.2228814328292063,0.3922909090909091,0.3595316593850749,0.6390204402330205,0.16393436176106535
0,aseg-volume_Inf-Lat-Vent_lh,0.368884,0.22431378446274766,0.3516363636363637,0.2536598592099212,0.7567047022384188,0.9181514624038412
0,aseg-volume_Inf-Lat-Vent_mean,0.3983259999999999,0.1954616672351214,0.3719636363636364,0.2964834087675009,0.6742264479259491,0.2925561914976421
0,aseg-volume_Cerebellum-White-Matter_rh,14.234612,1.6269075432959714,13.677216161616164,1.6227364792105423,0.1276646304986256,0.13827059793899255
0,aseg-volume_Cerebellum-White-Matter_lh,15.2542,1.9597968485279282,14.534438383838387,1.6268629610455365,0.06055237897369757,0.06346148300261506
0,aseg-volume_Cerebellum-White-Matter_mean,14.744406,1.7708698655439559,14.105827272727272,1.5762320893036816,0.08006287382169726,0.06709613756725051
0,aseg-volume_Cerebellum-Cortex_rh,55.591796,5.106452961081041,52.54827878787879,5.829034712124958,0.018477182481011687,0.024162660680056496
0,aseg-volume_Cerebellum-Cortex_lh,54.583096000000005,4.647915005809952,51.839764646464644,5.321448910609513,0.01992110801647374,0.022640631333074816
0,aseg-volume_Cerebellum-Cortex_mean,55.08744600000001,4.822540441853926,52.1940217171717,5.419188891009134,0.01630698788788939,0.01795053942374786
0,aseg-volume_Thalamus_rh,7.300636,0.8993901183023972,7.153629292929293,0.8808981420017572,0.45922509667511224,0.5131503705484458
0,aseg-volume_Thalamus_lh,7.456216,0.9246638806795329,7.29929393939394,0.896762189464236,0.4386842617195589,0.3631987739865259
0,aseg-volume_Thalamus_mean,7.378425999999999,0.8715557386937454,7.226461616161617,0.8577577942896866,0.4316469233048802,0.3648436581534693
0,aseg-volume_Caudate_rh,3.413204,0.37679611250648537,3.2729212121212115,0.43210582445165713,0.1398974913775359,0.15743346641432
0,aseg-volume_Caudate_lh,3.3252480000000006,0.3253429218020067,3.1925191919191924,0.4249451452418847,0.14797321129756374,0.10013700938920356
0,aseg-volume_Caudate_mean,3.3692260000000003,0.34413188911859555,3.2327202020202024,0.4186403452479784,0.134762534627617,0.12704524974327364
0,aseg-volume_Putamen_rh,4.807640000000001,0.544322782608506,4.665179797979797,0.6333921430951386,0.3042412987629439,0.3100283142154101
0,aseg-volume_Putamen_lh,4.691796,0.5693358444128854,4.596441414141414,0.5911792435135431,0.46934844343589943,0.6947892186499243
0,aseg-volume_Putamen_mean,4.749718,0.550652449728199,4.6308106060606065,0.5861056061364087,0.36093997373179454,0.4289702939727764
0,aseg-volume_Pallidum_rh,1.8427319999999998,0.256651538601791,1.8182565656565652,0.2549607497450027,0.6691749822997107,0.8640114391663629
0,aseg-volume_Pallidum_lh,1.9636839999999998,0.2044559114658545,1.957874747474747,0.2570452982962558,0.916684993711848,0.8811813618613382
0,aseg-volume_Pallidum_mean,1.9032080000000002,0.22375359898409086,1.8880656565656566,0.24318028130721525,0.7780506147755117,0.9404248445467962
0,aseg-volume_Hippocampus_rh,4.344372,0.5070137157250613,4.205362626262626,0.5377700976018144,0.24521340079136958,0.30120788346520333
0,aseg-volume_Hippocampus_lh,4.037984,0.5366292417178425,4.075188888888889,0.47694303105851477,0.7346422920345099,0.42896956765339345
0,aseg-volume_Hippocampus_mean,4.191178,0.5015722303999028,4.140275757575757,0.45918362469933777,0.6277652708664754,0.8566723284390456
0,aseg-volume_Amygdala_rh,1.7720919999999998,0.31726089936622615,1.7087484848484848,0.26050458195023873,0.3012700668178114,0.7296022930530117
0,aseg-volume_Amygdala_lh,1.7091,0.315254861183773,1.6635111111111112,0.24756289610590815,0.43889726233775006,0.9751579234200215
0,aseg-volume_Amygdala_mean,1.7405959999999998,0.3102808690391122,1.6861297979797978,0.23304371775191077,0.33256043970451876,0.8689106914564508
0,aseg-volume_Accumbens-area_rh,0.58048,0.0943868679072112,0.557689898989899,0.10794472271600215,0.33601997842014575,0.3312638817253917
0,aseg-volume_Accumbens-area_lh,0.533928,0.12001952452274865,0.4845525252525252,0.10654536673234298,0.04581514512729645,0.1538070673914301
0,aseg-volume_Accumbens-area_mean,0.557204,0.102448295821193,0.5211212121212121,0.10094874737447193,0.11392464722910418,0.17455821157601115
0,aseg-volume_VentralDC_rh,4.196956,0.49674888951394075,3.9468303030303034,0.47255984600042783,0.02087246831442715,0.01649491527041682
0,aseg-volume_VentralDC_lh,4.140396,0.5121400390192772,3.9402070707070704,0.47312023372684014,0.06540580652546867,0.0963371870893338
0,aseg-volume_VentralDC_mean,4.168676,0.4959984996869111,3.943518686868687,0.4636874882553816,0.034407382060418795,0.04169483292214608
0,aseg-volume_vessel_rh,0.03118799999999999,0.03245343227867688,0.032703030303030296,0.03012810896666493,0.825307129678555,0.5374875312521481
0,aseg-volume_vessel_lh,0.03875599999999999,0.028075643061795278,0.04387777777777776,0.03716034356389682,0.5210853498429718,0.37984755732792974
0,aseg-volume_vessel_mean,0.03497199999999999,0.024080005883166503,0.03829040404040403,0.02717342796906911,0.5782174795597013,0.3190145901749215
